,play,situation,qtr,drive_num,pos_team,drive_plays,drive_yds,drive_time,down,yds_to_go,field_pos,home_team,away_team,game_date
54,Rush,"T. J.-Fisher rush for 10 yards to the CC23, 1ST DOWN IR (P. Steffen).",1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,2nd,1,CC33,Cologne,Istanbul,220604
55,Pass,J. Stegman pass incomplete to K. Wedderburn.,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,1st,10,CC23,Cologne,Istanbul,220604
56,Rush,T. J.-Fisher rush for 6 yards to the CC17 (S. Amadu;M. Scherenberg).,1st Quarter,driveindex_10,Istanbul Rams,10,63,5:20,2nd,10,CC23,Cologne,Istanbul,220604
57,Drive start,COLOGNE CENTURIONS drive start at 14:09.,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,1st,10,CC25,Cologne,Istanbul,220604
58,Rush,T. King rush for 2 yards to the CC27 (N. Mundicha).,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,1st,10,CC25,Cologne,Istanbul,220604
59,Pass,J. Weinreich pass incomplete to J. Loercks.,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,2nd,8,CC27,Cologne,Istanbul,220604
60,Pass,"J. Weinreich pass complete to Q. Pounds for 13 yards to the CC40, 1ST DOWN CC (Z. Blair).",2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,3rd,8,CC27,Cologne,Istanbul,220604
61,Pass,J. Weinreich pass complete to L. Geyer for 8 yards to the CC48 (C. Walrond).,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,1st,10,CC40,Cologne,Istanbul,220604
62,Pass,"J. Weinreich pass complete to L. Geyer for 6 yards to the IR46, 1ST DOWN CC, out-of-bounds, PENALTY IR Roughing the Passer 15 yards to the IR31, 1ST DOWN CC.",2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,2nd,2,CC48,Cologne,Istanbul,220604
63,Down,1st and 10.,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,1st,10,IR31,Cologne,Istanbul,220604
64,Pass,J. Weinreich pass incomplete to P. Lenhardt (J. Milliken).,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,1st,10,IR31,Cologne,Istanbul,220604
65,Penalty,PENALTY IR Defensive Offside 5 yards to the IR26.,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,2nd,10,IR31,Cologne,Istanbul,220604
66,Pass,J. Weinreich pass complete to P. Lenhardt for 2 yards to the IR24 (J. Milliken).,2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,2nd,5,IR26,Cologne,Istanbul,220604
67,Pass,"J. Weinreich sacked for no gain to the IR24 (M. Tullio Lucas), fumble by TEAM recovered by IR A. Kucuk at IR28.",2nd Quarter,driveindex_11,Cologne Centurions,8,47,2:45,3rd,3,IR24,Cologne,Istanbul,220604
68,Drive start,ISTANBUL RAMS drive start at 11:24.,2nd Quarter,driveindex_12,Istanbul Rams,3,5,1:50,1st,10,IR28,Cologne,Istanbul,220604
69,Pass,J. Stegman pass incomplete.,2nd Quarter,driveindex_12,Istanbul Rams,3,5,1:50,1st,10,IR28,Cologne,Istanbul,220604
70,Rush,J. Conwell rush for no gain to the IR28 (C. Richardson).,2nd Quarter,driveindex_12,Istanbul Rams,3,5,1:50,2nd,10,IR28,Cologne,Istanbul,220604
71,Pass,J. Stegman pass complete to M. Kinoshita for 5 yards to the IR33 (I. Eldewieh).,2nd Quarter,driveindex_12,Istanbul Rams,3,5,1:50,3rd,10,IR28,Cologne,Istanbul,220604
72,Punt,"Y. Guven punt 39 yards to the CC28, out-of-bounds.",2nd Quarter,driveindex_12,Istanbul Rams,3,5,1:50,4th,5,IR33,Cologne,Istanbul,220604
73,Drive start,COLOGNE CENTURIONS drive start at 09:34.,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,1st,10,CC28,Cologne,Istanbul,220604
74,Pass,J. Weinreich pass incomplete to T. Jarmuzek (S. Ozdemir).,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,1st,10,CC28,Cologne,Istanbul,220604
75,Rush,T. King rush for loss of 1 yard to the CC27 (A. Aslan;Z. Blair).,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,2nd,10,CC28,Cologne,Istanbul,220604
76,Pass,"J. Weinreich pass complete to J. Schlesinger for 21 yards to the CC48, 1ST DOWN CC (A. Isik).",2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,3rd,11,CC27,Cologne,Istanbul,220604
77,Pass,J. Weinreich pass incomplete to P. Lenhardt.,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,1st,10,CC48,Cologne,Istanbul,220604
78,Pass,J. Weinreich pass incomplete to L. Geyer.,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,2nd,10,CC48,Cologne,Istanbul,220604
79,Pass,"J. Weinreich pass complete to Q. Pounds for 13 yards to the IR39, 1ST DOWN CC.",2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,3rd,10,CC48,Cologne,Istanbul,220604
80,Rush,T. King rush for no gain to the IR39 (Z. Blair;T. Bulusan).,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,1st,10,IR39,Cologne,Istanbul,220604
81,Pass,J. Weinreich pass incomplete to Q. Pounds (J. Milliken).,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,2nd,10,IR39,Cologne,Istanbul,220604
82,Pass,J. Weinreich pass incomplete to Q. Pounds (J. Milliken).,2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,3rd,10,IR39,Cologne,Istanbul,220604
83,Punt,"J. Appelt punt 9 yards to the IR30, downed.",2nd Quarter,driveindex_13,Cologne Centurions,9,33,2:53,4th,10,IR39,Cologne,Istanbul,220604
84,Drive start,ISTANBUL RAMS drive start at 06:41.,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,1st,10,IR30,Cologne,Istanbul,220604
85,Pass,J. Stegman pass complete to K. Wedderburn for 9 yards to the IR39 (I. Eldewieh;S. Amadu).,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,1st,10,IR30,Cologne,Istanbul,220604
86,Pass,J. Stegman pass incomplete to J. Conwell.,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,2nd,1,IR39,Cologne,Istanbul,220604
87,Pass,"J. Stegman pass complete to M. Kinoshita for 34 yards to the CC27, 1ST DOWN IR, out-of-bounds (M. Scherenberg).",2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,3rd,1,IR39,Cologne,Istanbul,220604
88,Pass,"J. Stegman pass incomplete to K. Wedderburn, PENALTY CC Encroachment 0 yards to the CC27, NO PLAY.",2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,1st,10,CC27,Cologne,Istanbul,220604
89,Rush,J. Conwell rush for loss of 5 yards to the CC32 (N. Liesen).,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,1st,10,CC27,Cologne,Istanbul,220604
90,Pass,J. Stegman pass incomplete (A. Naus).,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,2nd,15,CC32,Cologne,Istanbul,220604
91,Pass,"J. Stegman pass complete to J. Conwell for 23 yards to the CC9, 1ST DOWN IR.",2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,3rd,15,CC32,Cologne,Istanbul,220604
92,Pass,J. Stegman pass incomplete to M. Kinoshita (M. Scherenberg).,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,1st,0,CC09,Cologne,Istanbul,220604
93,Pass,J. Stegman pass incomplete to J. Conwell (F. Simon).,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,2nd,0,CC09,Cologne,Istanbul,220604
94,Rush,J. Conwell rush for loss of 11 yards to the CC20 (J. Voelker).,2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,3rd,0,CC09,Cologne,Istanbul,220604
95,Field goal attempt,"M. Sarikatipogl field goal attempt from 37 GOOD, clock 03:01.",2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,4th,0,CC20,Cologne,Istanbul,220604
96,Kickoff,"M. Sarikatipogl kickoff 62 yards to the CC8, P. Lenhardt return 22 yards to the CC30 (C. Walrond).",2nd Quarter,driveindex_14,Istanbul Rams,10,50,3:40,1st,0,IR30,Cologne,Istanbul,220604
97,Drive start,COLOGNE CENTURIONS drive start at 02:53.,2nd Quarter,driveindex_15,Cologne Centurions,4,70,0:59,1st,10,CC30,Cologne,Istanbul,220604
98,Pass,"J. Weinreich pass complete to Q. Pounds for 16 yards to the CC46, 1ST DOWN CC (C. Kucuksengun;A. Isik).",2nd Quarter,driveindex_15,Cologne Centurions,4,70,0:59,1st,10,CC30,Cologne,Istanbul,220604
99,Pass,"J. Weinreich pass complete to T. King for 17 yards to the IR37, 1ST DOWN CC (A. Isik).",2nd Quarter,driveindex_15,Cologne Centurions,4,70,0:59,1st,10,CC46,Cologne,Istanbul,220604
100,Rush,"J. Weinreich rush for 3 yards to the IR34, out-of-bounds.",2nd Quarter,driveindex_15,Cologne Centurions,4,70,0:59,1st,10,IR37,Cologne,Istanbul,220604
101,Pass,"J. Weinreich pass complete to Q. Pounds for 34 yards to the IR0, 1ST DOWN CC, TOUCHDOWN, clock 01:54, J. Appelt kick attempt failed.",2nd Quarter,driveindex_15,Cologne Centurions,4,70,0:59,2nd,7,IR34,Cologne,Istanbul,220604
102,Kickoff,"J. Appelt kickoff 68 yards to the IR2, out-of-bounds, IR ball on IR40.",2nd Quarter,driveindex_15,Cologne Centurions,4,70,0:59,1st,0,CC30,Cologne,Istanbul,220604
103,Drive start,ISTANBUL RAMS drive start at 01:54.,2nd Quarter,driveindex_16,Istanbul Rams,3,0,0:19,1st,10,IR40,Cologne,Istanbul,220604
104,Pass,J. Stegman pass incomplete to Y. Guven.,2nd Quarter,driveindex_16,Istanbul Rams,3,0,0:19,1st,10,IR40,Cologne,Istanbul,220604
105,Pass,J. Stegman pass incomplete to M. Kinoshita.,2nd Quarter,driveindex_16,Istanbul Rams,3,0,0:19,2nd,10,IR40,Cologne,Istanbul,220604
106,Pass,"J. Stegman pass intercepted by F. Simon at the IR39, F. Simon return 0 yards to the IR39.",2nd Quarter,driveindex_16,Istanbul Rams,3,0,0:19,3rd,10,IR40,Cologne,Istanbul,220604
107,Drive start,COLOGNE CENTURIONS drive start at 01:35.,2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,1st,10,IR39,Cologne,Istanbul,220604
108,Pass,"J. Weinreich pass complete to Q. Pounds for no gain to the IR39 (C. Walrond), PENALTY CC Illegal Block Above Waist (32) 10 yards to the IR49, NO PLAY.",2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,1st,10,IR39,Cologne,Istanbul,220604
109,Pass,J. Weinreich pass incomplete to L. Geyer.,2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,1st,20,IR49,Cologne,Istanbul,220604
110,Pass,J. Weinreich pass incomplete to P. Lenhardt.,2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,2nd,20,IR49,Cologne,Istanbul,220604
111,Timeout,"Timeout Cologne Centurions, clock 01:14.",2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,3rd,20,IR49,Cologne,Istanbul,220604
112,Pass,J. Weinreich pass incomplete to Q. Pounds.,2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,3rd,20,IR49,Cologne,Istanbul,220604
113,Punt,"J. Appelt punt 29 yards to the IR20, downed.",2nd Quarter,driveindex_17,Cologne Centurions,3,-10,0:36,4th,20,IR49,Cologne,Istanbul,220604
114,Drive start,ISTANBUL RAMS drive start at 00:59.,2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,1st,10,IR20,Cologne,Istanbul,220604
115,Pass,J. Stegman sacked for loss of 10 yards to the IR10 (F. Simon;J. Wenke).,2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,1st,10,IR20,Cologne,Istanbul,220604
116,Timeout,"Timeout Cologne Centurions, clock 00:40.",2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,2nd,20,IR10,Cologne,Istanbul,220604
117,Rush,M. Kinoshita rush for loss of 5 yards to the IR5 (J. Wenke).,2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,2nd,20,IR10,Cologne,Istanbul,220604
118,Timeout,"Timeout Cologne Centurions, clock 00:35.",2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,3rd,25,IR05,Cologne,Istanbul,220604
119,Rush,T. J.-Fisher rush for loss of 4 yards to the IR1 (N. Liesen).,2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,3rd,25,IR05,Cologne,Istanbul,220604
120,End of half,"End of half, clock 00:00.",2nd Quarter,driveindex_18,Istanbul Rams,3,-19,0:59,4th,29,IR01,Cologne,Istanbul,220604
121,Drive start,ISTANBUL RAMS drive start at 14:52.,3rd Quarter,driveindex_19,Istanbul Rams,3,3,1:40,1st,10,IR20,Cologne,Istanbul,220604
122,Rush,J. Conwell rush for loss of 3 yards to the IR17 (A. Naus).,3rd Quarter,driveindex_19,Istanbul Rams,3,3,1:40,1st,10,IR20,Cologne,Istanbul,220604
123,Pass,J. Stegman pass complete to M. Kinoshita for 6 yards to the IR23 (F. Simon).,3rd Quarter,driveindex_19,Istanbul Rams,3,3,1:40,2nd,13,IR17,Cologne,Istanbul,220604
124,Pass,"J. Stegman pass intercepted by K. Beverly at the IR38, K. Beverly return to the IR1, NO PLAY.",3rd Quarter,driveindex_19,Istanbul Rams,3,3,1:40,3rd,7,IR23,Cologne,Istanbul,220604
125,Pass,"J. Stegman pass intercepted by K. Beverly at the IR43, K. Beverly return 0 yards to the IR43.",3rd Quarter,driveindex_19,Istanbul Rams,3,3,1:40,3rd,7,IR23,Cologne,Istanbul,220604
126,Drive start,COLOGNE CENTURIONS drive start at 13:12.,3rd Quarter,driveindex_20,Cologne Centurions,4,43,1:57,1st,10,IR43,Cologne,Istanbul,220604
127,Rush,T. King rush for loss of 4 yards to the IR47 (M. Tullio Lucas;Z. Blair).,3rd Quarter,driveindex_20,Cologne Centurions,4,43,1:57,1st,10,IR43,Cologne,Istanbul,220604
128,Pass,"J. Weinreich pass complete to P. Lenhardt for 32 yards to the IR15, 1ST DOWN CC, out-of-bounds.",3rd Quarter,driveindex_20,Cologne Centurions,4,43,1:57,2nd,14,IR47,Cologne,Istanbul,220604
129,Rush,T. King rush for 1 yard to the IR14 (B. Zaimoglu).,3rd Quarter,driveindex_20,Cologne Centurions,4,43,1:57,1st,10,IR15,Cologne,Istanbul,220604
130,Pass,"J. Weinreich pass complete to L. Geyer for 14 yards to the IR0, 1ST DOWN CC, TOUCHDOWN, clock 11:15, J. Appelt kick attempt failed.",3rd Quarter,driveindex_20,Cologne Centurions,4,43,1:57,2nd,9,IR14,Cologne,Istanbul,220604
131,Kickoff,"J. Appelt kickoff 70 yards to the IR0, touchback.",3rd Quarter,driveindex_20,Cologne Centurions,4,43,1:57,1st,0,CC30,Cologne,Istanbul,220604
132,Drive start,ISTANBUL RAMS drive start at 11:15.,3rd Quarter,driveindex_21,Istanbul Rams,4,70,1:47,1st,10,IR30,Cologne,Istanbul,220604
133,Rush,T. J.-Fisher rush for 3 yards to the IR33 (N. Liesen).,3rd Quarter,driveindex_21,Istanbul Rams,4,70,1:47,1st,10,IR30,Cologne,Istanbul,220604
134,Rush,T. J.-Fisher rush for 4 yards to the IR37 (W. Bhikh).,3rd Quarter,driveindex_21,Istanbul Rams,4,70,1:47,2nd,7,IR33,Cologne,Istanbul,220604
135,Pass,"J. Stegman pass complete to A. Agackesen for 56 yards to the CC7, 1ST DOWN IR (M. Scherenberg;E. Akguen), PENALTY CC Illegal Contact declined, PENALTY CC Defensive Offside declined.",3rd Quarter,driveindex_21,Istanbul Rams,4,70,1:47,3rd,3,IR37,Cologne,Istanbul,220604
136,Rush,"T. J.-Fisher rush for 7 yards to the CC0, 1ST DOWN IR, TOUCHDOWN, clock 09:28, M. Sarikatipogl kick attempt good.",3rd Quarter,driveindex_21,Istanbul Rams,4,70,1:47,1st,0,CC07,Cologne,Istanbul,220604
137,Kickoff,"M. Sarikatipogl kickoff 62 yards to the CC8, P. Lenhardt return 21 yards to the CC29 (S. Ozdemir;O. Duzcu).",3rd Quarter,driveindex_21,Istanbul Rams,4,70,1:47,1st,0,IR30,Cologne,Istanbul,220604
138,Drive start,COLOGNE CENTURIONS drive start at 09:20.,3rd Quarter,driveindex_22,Cologne Centurions,2,1,0:36,1st,10,CC29,Cologne,Istanbul,220604
139,Rush,T. King rush for 7 yards to the CC36 (S. Ozdemir).,3rd Quarter,driveindex_22,Cologne Centurions,2,1,0:36,1st,10,CC29,Cologne,Istanbul,220604
